"","id","raceId","raceName","geoid","fullState","state","cd","chamber","rating","openSeat","previousParty","uncontested","turnoutCount","specialElection","primaryDate","senateClass"
"1",37325,"S2020RI02","Rhode Island","44","Rhode Island","RI","","SENATE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"2",37343,"H2020AZ04","Arizona 4","0404","Arizona","AZ","04","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"3",37334,"H2020AL06","Alabama 6","0106","Alabama","AL","06","HOUSE","SAFE-R",FALSE,NA,TRUE,NA,FALSE,NA,""
"4",37306,"S2020MN02","Minnesota","27","Minnesota","MN","","SENATE","LIKELY-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"5",37357,"H2020CA09","California 9","0609","California","CA","09","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"6",37379,"H2020CA31","California 31","0631","California","CA","31","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"7",37404,"H2020CO03","Colorado 3","0803","Colorado","CO","03","HOUSE","TOSS-UP",TRUE,NA,FALSE,NA,FALSE,NA,""
"8",37413,"H2020CT05","Connecticut 5","0905","Connecticut","CT","05","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"9",37463,"H2020ID02","Idaho 2","1602","Idaho","ID","02","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"10",37433,"H2020FL19","Florida 19","1219","Florida","FL","19","HOUSE","SAFE-R",TRUE,NA,FALSE,NA,FALSE,NA,""
"11",37469,"H2020IL06","Illinois 6","1706","Illinois","IL","06","HOUSE","LEAN-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"12",37444,"H2020GA03","Georgia 3","1303","Georgia","GA","03","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"13",37503,"H2020LA03","Louisiana 3","2203","Louisiana","LA","03","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"14",37521,"H2020MD06","Maryland 6","2406","Maryland","MD","06","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"15",37573,"H2020NC13","North Carolina 13","3713","North Carolina","NC","13","HOUSE","SAFE-R",FALSE,NA,FALSE,NA,FALSE,NA,""
"16",37544,"H2020MN05","Minnesota 5","2705","Minnesota","MN","05","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"17",37605,"H2020NY07","New York 7","3607","New York","NY","07","HOUSE","SAFE-D",FALSE,NA,FALSE,NA,FALSE,NA,""
"18",37660,"H2020PA10","Pennsylvania 10","4210","Pennsylvania","PA","10","HOUSE","TOSS-UP",FALSE,NA,FALSE,NA,FALSE,NA,""
